,Unnamed: 0,release,Title,genre,Language,Cast,Ratings,release_year
7830,7830,12-08-2011,Catch.44,"Drama, Action, Thriller",English,"['Bruce Willis', 'Malin Åkerman', 'Nikki Reed', 'Deborah Ann Woll', 'Forest Whitaker', 'Brad Dourif', 'Shea Whigham', 'Michael Rosenbaum', 'Reila Aphrodite']",5.1,2011
7831,7831,01/27/1989 ,"No Retreat, No Surrender 2: Raging Thunder",Action,English,"['Loren Avedon', 'Cynthia Rothrock', 'Max Thayer', 'Matthias Hues', 'Hwang Jang-Lee', 'Nirut Sirijanya']",5.3,1989
7832,7832,01/15/2007 ,A Good Year,"Comedy, Drama, Romance",English,"['Russell Crowe', 'Marion Cotillard', 'Albert Finney', 'Freddie Highmore', 'Didier Bourdon', 'Tom Hollander', 'Abbie Cornish', 'Isabelle Candelier', 'Archie Panjabi']",6.7,2007
7833,7833,12/15/1996 ,Beavis and Butt-Head Do America,"Animation, Comedy",English,"['Mike Judge', 'Bruce Willis', 'Demi Moore', 'Cloris Leachman', 'Robert Stack', 'Jacqueline Barba', 'Pamela Blair', 'Eric Bogosian', 'Kristofor Brown']",6.6,1996
7834,7834,01/30/2003 ,Frailty,"Drama, Thriller, Crime",English,"['Bill Paxton', 'Matthew McConaughey', 'Powers Boothe', '""Matt OLeary""', 'Jeremy Sumpter', 'Luke Askew', 'Levi Kreis', 'Derk Cheetwood', 'Missy Crider']",7.0,2003
7835,7835,11/18/2021 ,Zola,"Comedy, Crime",English,"['Taylour Paige', 'Riley Keough', 'Colman Domingo', 'Nicholas Braun', '""Ariel Stachel""', 'Nelcie Souffrant', 'Nasir Rahim', 'Jason Mitchell', 'Ts Madison']",6.2,2021
7836,7836,04/27/2000 ,Where the Heart Is,"Comedy, Drama, Romance",English,"['Natalie Portman', 'Ashley Judd', 'Stockard Channing', 'Joan Cusack', 'Sally Field', 'James Frain', 'Dylan Bruno', 'Keith David', 'Ray Prewitt']",7.1,2000
7837,7837,07-08-1993,The Firm,"Drama, Mystery, Thriller",English,"['Tom Cruise', 'Jeanne Tripplehorn', 'Gene Hackman', 'Hal Holbrook', 'Terry Kinney', 'Wilford Brimley', 'Ed Harris', 'Holly Hunter', 'Karina Lombard']",6.7,1993
7838,7838,01-07-2018,Dead Sexy,Comedy,English,"['Alexandra Corin Johnston', 'Jacqi Vene', 'Greta Garland', 'A.J. Villarreal', 'Suzanne Stokes', 'Randi Wright', 'Laura Riffel']",5.2,2018
7839,7839,04-03-2018,Honey: Rise Up and Dance,"Music, Drama",English,"['Teyana Taylor', 'Bryshere Y. Gray', 'Sierra McClain', 'Charmin Lee', 'Joel Rush', 'Lawrence Kao', 'Kwajalyn Brown', 'Josh Ventura', 'Candice Craig']",7.1,2018
